Date, Open, High, Low, Close, Volume
02/28/23, 23.10, 23.50, 23.05, 23.30, 3743300
02/27/23, 23.50, 23.50, 22.90, 23.00, 8930200
02/24/23, 23.50, 23.50, 23.20, 23.35, 590100
02/23/23, 23.60, 23.60, 23.25, 23.40, 970100
02/22/23, 23.50, 23.60, 23.20, 23.50, 11200400
02/21/23, 23.00, 23.60, 23.00, 23.45, 1567800
02/20/23, 23.50, 23.65, 23.20, 23.50, 771800
02/17/23, 23.65, 23.70, 23.50, 23.65, 205400
02/16/23, 23.70, 23.70, 23.50, 23.60, 15340000
02/15/23, 23.70, 23.70, 23.50, 23.70, 3483300
02/14/23, 23.85, 23.90, 23.50, 23.70, 1185600
02/13/23, 24.00, 24.00, 23.55, 23.75, 390100
02/10/23, 24.00, 24.00, 23.60, 23.90, 4673200
02/09/23, 24.30, 24.30, 23.95, 24.10, 1112900
02/08/23, 24.00, 24.30, 23.70, 24.00, 1128700
02/07/23, 24.45, 24.50, 23.50, 24.00, 3603800
02/06/23, 24.50, 24.95, 24.25, 24.45, 9459700
02/03/23, 24.25, 24.80, 24.10, 24.50, 1746900
02/02/23, 24.10, 24.25, 23.75, 24.00, 2086300
02/01/23, 23.90, 24.45, 23.05, 24.00, 7298100
01/31/23, 23.20, 23.60, 23.00, 23.40, 1940200
01/30/23, 23.65, 24.00, 23.00, 23.05, 847500
01/27/23, 23.50, 23.50, 23.00, 23.25, 622600
01/26/23, 23.95, 23.95, 23.00, 23.25, 1304000
01/25/23, 23.20, 24.95, 23.00, 23.55, 12920300
01/24/23, 23.00, 23.50, 22.85, 23.05, 8077900
01/23/23, 22.95, 23.00, 22.50, 23.00, 2274700
01/20/23, 21.80, 23.65, 21.80, 22.55, 2449000
01/19/23, 21.00, 22.05, 21.00, 21.75, 107510305
01/18/23, 21.00, 21.50, 20.50, 20.60, 57134500
01/17/23, 21.50, 21.50, 20.50, 21.10, 4056800
01/16/23, 22.00, 22.00, 21.00, 21.55, 1927800
01/13/23, 22.15, 22.35, 21.50, 22.00, 2403000
01/12/23, 22.50, 22.50, 22.15, 22.25, 3003600
01/11/23, 22.85, 22.85, 22.50, 22.65, 689700
01/10/23, 23.50, 23.50, 22.80, 22.95, 5557600
01/09/23, 23.50, 23.90, 23.15, 23.35, 3736500
01/06/23, 23.90, 23.90, 23.40, 23.50, 2024400
01/05/23, 24.00, 24.00, 23.80, 23.90, 279300
01/04/23, 24.00, 24.00, 23.80, 23.90, 1882800
01/03/23, 24.15, 24.40, 24.00, 24.05, 575900
12/30/22, 24.00, 24.50, 24.00, 24.15, 13959200
12/29/22, 24.50, 24.50, 23.90, 24.00, 3306100
12/28/22, 24.70, 24.70, 24.30, 24.45, 153100
12/23/22, 24.75, 24.80, 24.30, 24.60, 624400
12/22/22, 25.00, 25.00, 24.50, 24.70, 1202000
12/21/22, 25.00, 25.00, 24.50, 24.75, 2791700
12/20/22, 25.00, 25.00, 24.60, 24.80, 901200
12/19/22, 25.00, 25.00, 24.80, 24.90, 264400
12/16/22, 25.00, 25.30, 24.75, 24.95, 4606000
12/15/22, 25.10, 25.10, 24.55, 24.80, 2925800
12/14/22, 24.65, 25.10, 24.65, 25.00, 1645100
12/13/22, 24.50, 25.00, 24.50, 24.90, 876500
12/09/22, 24.20, 25.00, 24.10, 24.30, 1258500
12/08/22, 24.50, 24.50, 24.05, 24.10, 6624500
12/07/22, 24.35, 25.00, 23.90, 24.10, 3595800
12/06/22, 24.00, 24.40, 23.50, 23.85, 2657200
12/05/22, 24.50, 24.50, 23.00, 23.65, 3762700
12/02/22, 24.50, 24.50, 24.20, 24.35, 5275400
12/01/22, 24.80, 24.80, 24.40, 24.50, 323600